case,scan_lines,iterations,threshold,center_mode,order_mode,refinement_selection,fallback_mode,ieps_mode,scf_method,scf_score_mode,scf_tolerance,ieps_points,ieps_accuracy,neighbor_mean,neighbor_std,precision,recall,f1,target_reached_segments,total_segments,ieps_ms,scf_ms,total_ms,canny_precision,canny_recall,canny_f1
circle_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,1.0000,13.8788,0.3605,1.0000,1.0000,1.0000,32,32,14.4655,8.2337,22.6992,1.0000,1.0000,1.0000
circle_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,graph,gradient_distance2,2.0000,32,1.0000,13.8788,0.3605,1.0000,1.0000,1.0000,32,32,9.5059,25.0405,34.5464,1.0000,1.0000,1.0000
circle_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,band_graph,gradient_distance2,2.0000,32,1.0000,13.8788,0.3605,1.0000,1.0000,1.0000,32,32,8.6676,299.5974,308.2650,1.0000,1.0000,1.0000
circle_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,1.0000,13.8614,0.3333,1.0000,1.0000,1.0000,32,32,13.7917,2.7233,16.5150,0.8197,1.0000,0.9009
circle_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,graph,gradient_distance2,2.0000,32,1.0000,13.8614,0.3333,1.0000,1.0000,1.0000,32,32,10.2429,30.4231,40.6660,0.8197,1.0000,0.9009
circle_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,band_graph,gradient_distance2,2.0000,32,1.0000,13.8614,0.3333,1.0000,1.0000,1.0000,32,32,8.3410,414.8058,423.1468,0.8197,1.0000,0.9009
u_shape_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7812,19.2960,5.6047,0.6938,0.5499,0.6135,32,32,14.8734,5.1118,19.9852,1.0000,1.0000,1.0000
u_shape_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,graph,gradient_distance2,2.0000,32,0.7812,19.2960,5.6047,0.6944,0.5499,0.6137,32,32,10.6278,201.8172,212.4450,1.0000,1.0000,1.0000
u_shape_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,band_graph,gradient_distance2,2.0000,32,0.7812,19.2960,5.6047,0.6944,0.5499,0.6137,32,32,8.1019,2438.3897,2446.4916,1.0000,1.0000,1.0000
u_shape_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7812,19.3102,5.5726,0.6366,0.5512,0.5908,32,32,7.4982,5.6282,13.1264,0.6301,1.0000,0.7731
u_shape_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,graph,gradient_distance2,2.0000,32,0.7812,19.3102,5.5726,0.6864,0.5512,0.6114,32,32,9.5039,217.5686,227.0725,0.6301,1.0000,0.7731
u_shape_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,band_graph,gradient_distance2,2.0000,32,0.7812,19.3102,5.5726,0.6905,0.5499,0.6122,32,32,11.0948,2574.9079,2586.0027,0.6301,1.0000,0.7731
