case,scan_lines,iterations,threshold,center_mode,order_mode,refinement_selection,fallback_mode,ieps_mode,scf_method,scf_score_mode,scf_tolerance,ieps_points,ieps_accuracy,neighbor_mean,neighbor_std,precision,recall,f1,target_reached_segments,total_segments,ieps_ms,scf_ms,total_ms,canny_precision,canny_recall,canny_f1,canny_ms
circle_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,1.0000,13.8788,0.3605,1.0000,1.0000,1.0000,32,32,6.5833,1.6275,8.2108,1.0000,1.0000,1.0000,12.3587
circle_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,graph,gradient_distance2,2.0000,32,1.0000,13.8788,0.3605,1.0000,1.0000,1.0000,32,32,5.4151,18.8357,24.2508,1.0000,1.0000,1.0000,1.0577
circle_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,band_graph,gradient_distance2,2.0000,32,1.0000,13.8788,0.3605,1.0000,1.0000,1.0000,32,32,7.9841,217.1547,225.1388,1.0000,1.0000,1.0000,1.0635
circle_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,1.0000,13.8614,0.3333,1.0000,1.0000,1.0000,32,32,8.3238,2.7585,11.0823,0.8197,1.0000,0.9009,4.1445
circle_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,graph,gradient_distance2,2.0000,32,1.0000,13.8614,0.3333,1.0000,1.0000,1.0000,32,32,5.5718,21.0857,26.6575,0.8197,1.0000,0.9009,3.2808
circle_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,band_graph,gradient_distance2,2.0000,32,1.0000,13.8614,0.3333,1.0000,1.0000,1.0000,32,32,5.4783,266.9453,272.4236,0.8197,1.0000,0.9009,3.5979
u_shape_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,1.0000,16.3403,4.2789,0.9283,0.9544,0.9412,32,32,5.0512,2.1805,7.2317,1.0000,1.0000,1.0000,0.6656
u_shape_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,graph,gradient_distance2,2.0000,32,1.0000,16.3403,4.2789,0.9818,1.0000,0.9908,32,32,5.6396,67.7299,73.3695,1.0000,1.0000,1.0000,1.0546
u_shape_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,band_graph,gradient_distance2,2.0000,32,1.0000,16.3403,4.2789,0.9818,1.0000,0.9908,32,32,5.8183,658.2008,664.0191,1.0000,1.0000,1.0000,1.0691
u_shape_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,1.0000,16.3217,4.1277,0.9332,0.9637,0.9482,32,32,5.4309,2.3752,7.8061,0.7842,1.0000,0.8791,2.8683
u_shape_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,graph,gradient_distance2,2.0000,32,1.0000,16.3217,4.1277,0.9818,1.0000,0.9908,32,32,5.6574,76.2346,81.8920,0.7842,1.0000,0.8791,2.3363
u_shape_noisy,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,band_graph,gradient_distance2,2.0000,32,1.0000,16.3217,4.1277,0.9758,1.0000,0.9878,32,32,6.8780,789.0108,795.8888,0.7842,1.0000,0.8791,4.3749
