case,scan_lines,iterations,threshold,center_mode,order_mode,refinement_selection,fallback_mode,ieps_mode,scf_method,scf_score_mode,scf_tolerance,ieps_points,ieps_accuracy,neighbor_mean,neighbor_std,precision,recall,f1,target_reached_segments,total_segments,ieps_ms,scf_ms,total_ms,canny_precision,canny_recall,canny_f1
param_threshold_40,4,3,40.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7500,20.7252,4.8377,0.6057,0.5512,0.5772,32,32,12.1794,9.3509,21.5303,0.6301,1.0000,0.7731
param_threshold_64,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7812,19.3102,5.5726,0.6366,0.5512,0.5908,32,32,10.5218,6.2958,16.8176,0.6301,1.0000,0.7731
param_threshold_90,4,3,90.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7812,19.2758,5.5571,0.6410,0.5526,0.5935,32,32,15.0407,6.4431,21.4838,0.6301,1.0000,0.7731
param_scanlines_4,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7812,19.3102,5.5726,0.6366,0.5512,0.5908,32,32,10.8264,8.1942,19.0206,0.6301,1.0000,0.7731
param_scanlines_8,8,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,64,0.7656,11.8221,8.1175,0.5131,0.5438,0.5280,64,64,21.2033,5.6552,26.8585,0.6301,1.0000,0.7731
param_iterations_2,4,2,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,16,0.8125,37.3649,9.1920,0.6596,0.5593,0.6053,16,16,7.3620,5.3679,12.7299,0.6301,1.0000,0.7731
param_iterations_3,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7812,19.3102,5.5726,0.6366,0.5512,0.5908,32,32,16.0836,5.3969,21.4805,0.6301,1.0000,0.7731
param_scf_tol_1,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,1.0000,32,0.7812,19.3102,5.5726,0.6443,0.5512,0.5941,32,32,8.8582,4.8613,13.7195,0.6301,1.0000,0.7731
param_scf_tol_2,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7812,19.3102,5.5726,0.6366,0.5512,0.5908,32,32,10.4761,14.3532,24.8293,0.6301,1.0000,0.7731
param_scf_tol_3,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,3.0000,32,0.7812,19.3102,5.5726,0.6302,0.5512,0.5881,32,32,7.5661,5.8995,13.4656,0.6301,1.0000,0.7731
param_scf_score_gradient_only,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_only,2.0000,32,0.7812,19.3102,5.5726,0.6386,0.5512,0.5917,32,32,7.2880,3.2344,10.5224,0.6301,1.0000,0.7731
param_scf_score_gradient_distance2,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7812,19.3102,5.5726,0.6366,0.5512,0.5908,32,32,10.5762,5.1274,15.7036,0.6301,1.0000,0.7731
param_noise_clean,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7812,19.2960,5.6047,0.6938,0.5499,0.6135,32,32,9.8648,6.0232,15.8880,1.0000,1.0000,1.0000
param_noise_low_noise_sigma10,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7812,19.3102,5.5726,0.6404,0.5512,0.5925,32,32,13.6385,5.2273,18.8658,1.0000,1.0000,1.0000
param_noise_paperlike_noise_sigma20,4,3,64.0000,contrast,topological,farthest_from_center,max_gradient,paper,greedy,gradient_distance2,2.0000,32,0.7812,19.3102,5.5726,0.6366,0.5512,0.5908,32,32,9.1552,5.9272,15.0824,0.6301,1.0000,0.7731
